Topic,URL
Scaling a Business: How to Build a Unicorn,https://www.youtube.com/watch?v=3OOxXHR-3mM
Entrepreneurship Acceleration Program |  Wharton Executive Education |  Participant Testimonial,https://www.youtube.com/watch?v=9kX-ErW0-mU
"Mastering Innovation: Strategy, Process, and Tools Program Overview",https://www.youtube.com/watch?v=D1-mUfkSjAU
The Art of Product Management with Sachin Rekhi (ENG’05 W’05),https://www.youtube.com/watch?v=huTSPanUlQM
